pref,pref_ja,fiscal_year,month,count,as_of,source_url,source_title,format,comparable,method_note
akita,秋田,2026,2,,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003,"秋田県 クマダス (ツキノワグマ出没情報) open data, CC BY 4.0",CSV (CKAN open data),true,"bear_reports column of akita_monthly.csv = sightings + food-damage traces + other traces + injuries, the same 出没 series as the ministry's table (FY2025 total 13,592 in both). Month values copied from akita_monthly.csv; August's as_of equals the month end, so late-filed August reports may still be missing."
akita,秋田,2026,3,,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003,"秋田県 クマダス (ツキノワグマ出没情報) open data, CC BY 4.0",CSV (CKAN open data),true,"bear_reports column of akita_monthly.csv = sightings + food-damage traces + other traces + injuries, the same 出没 series as the ministry's table (FY2025 total 13,592 in both). Month values copied from akita_monthly.csv; August's as_of equals the month end, so late-filed August reports may still be missing."
iwate,岩手,2026,4,376,2026-08-21,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html,岩手県 ツキノワグマ出没状況,HTML/PDF monthly table,false,"Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years, so FY2026 is not comparable with FY2025 (MoE's FY2025 row matches Iwate's own)."
iwate,岩手,2026,5,934,2026-08-21,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html,岩手県 ツキノワグマ出没状況,HTML/PDF monthly table,false,"Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years, so FY2026 is not comparable with FY2025 (MoE's FY2025 row matches Iwate's own)."
iwate,岩手,2026,6,1666,2026-08-21,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html,岩手県 ツキノワグマ出没状況,HTML/PDF monthly table,false,"Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years, so FY2026 is not comparable with FY2025 (MoE's FY2025 row matches Iwate's own)."
iwate,岩手,2026,7,1326,2026-08-21,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html,岩手県 ツキノワグマ出没状況,HTML/PDF monthly table,false,"Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years, so FY2026 is not comparable with FY2025 (MoE's FY2025 row matches Iwate's own)."
iwate,岩手,2026,8,,2026-08-21,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html,岩手県 ツキノワグマ出没状況,HTML/PDF monthly table,false,"Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years, so FY2026 is not comparable with FY2025 (MoE's FY2025 row matches Iwate's own)."
iwate,岩手,2026,9,,2026-08-21,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html,岩手県 ツキノワグマ出没状況,HTML/PDF monthly table,false,"Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years, so FY2026 is not comparable with FY2025 (MoE's FY2025 row matches Iwate's own)."
iwate,岩手,2026,10,,2026-08-21,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html,岩手県 ツキノワグマ出没状況,HTML/PDF monthly table,false,"Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years, so FY2026 is not comparable with FY2025 (MoE's FY2025 row matches Iwate's own)."
iwate,岩手,2026,11,,2026-08-21,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html,岩手県 ツキノワグマ出没状況,HTML/PDF monthly table,false,"Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years, so FY2026 is not comparable with FY2025 (MoE's FY2025 row matches Iwate's own)."
iwate,岩手,2026,12,,2026-08-21,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html,岩手県 ツキノワグマ出没状況,HTML/PDF monthly table,false,"Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years, so FY2026 is not comparable with FY2025 (MoE's FY2025 row matches Iwate's own)."
iwate,岩手,2026,1,,2026-08-21,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html,岩手県 ツキノワグマ出没状況,HTML/PDF monthly table,false,"Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years, so FY2026 is not comparable with FY2025 (MoE's FY2025 row matches Iwate's own)."
iwate,岩手,2026,2,,2026-08-21,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html,岩手県 ツキノワグマ出没状況,HTML/PDF monthly table,false,"Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years, so FY2026 is not comparable with FY2025 (MoE's FY2025 row matches Iwate's own)."
iwate,岩手,2026,3,,2026-08-21,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html,岩手県 ツキノワグマ出没状況,HTML/PDF monthly table,false,"Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years, so FY2026 is not comparable with FY2025 (MoE's FY2025 row matches Iwate's own)."
miyagi,宮城,2026,4,141,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html,宮城県 令和8年度クマ目撃等情報,HTML monthly table,true,"Same series as the ministry's table for FY2025 (3,559 total). The page prints 0 for every month not yet reached (September to March as of 2026-09-02); those are stored here as blank, not zero."
miyagi,宮城,2026,5,318,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html,宮城県 令和8年度クマ目撃等情報,HTML monthly table,true,"Same series as the ministry's table for FY2025 (3,559 total). The page prints 0 for every month not yet reached (September to March as of 2026-09-02); those are stored here as blank, not zero."
miyagi,宮城,2026,6,347,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html,宮城県 令和8年度クマ目撃等情報,HTML monthly table,true,"Same series as the ministry's table for FY2025 (3,559 total). The page prints 0 for every month not yet reached (September to March as of 2026-09-02); those are stored here as blank, not zero."
miyagi,宮城,2026,7,222,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html,宮城県 令和8年度クマ目撃等情報,HTML monthly table,true,"Same series as the ministry's table for FY2025 (3,559 total). The page prints 0 for every month not yet reached (September to March as of 2026-09-02); those are stored here as blank, not zero."
miyagi,宮城,2026,8,132,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html,宮城県 令和8年度クマ目撃等情報,HTML monthly table,true,"Same series as the ministry's table for FY2025 (3,559 total). The page prints 0 for every month not yet reached (September to March as of 2026-09-02); those are stored here as blank, not zero."
miyagi,宮城,2026,9,,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html,宮城県 令和8年度クマ目撃等情報,HTML monthly table,true,"Same series as the ministry's table for FY2025 (3,559 total). The page prints 0 for every month not yet reached (September to March as of 2026-09-02); those are stored here as blank, not zero."
miyagi,宮城,2026,10,,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html,宮城県 令和8年度クマ目撃等情報,HTML monthly table,true,"Same series as the ministry's table for FY2025 (3,559 total). The page prints 0 for every month not yet reached (September to March as of 2026-09-02); those are stored here as blank, not zero."
miyagi,宮城,2026,11,,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html,宮城県 令和8年度クマ目撃等情報,HTML monthly table,true,"Same series as the ministry's table for FY2025 (3,559 total). The page prints 0 for every month not yet reached (September to March as of 2026-09-02); those are stored here as blank, not zero."
miyagi,宮城,2026,12,,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html,宮城県 令和8年度クマ目撃等情報,HTML monthly table,true,"Same series as the ministry's table for FY2025 (3,559 total). The page prints 0 for every month not yet reached (September to March as of 2026-09-02); those are stored here as blank, not zero."
miyagi,宮城,2026,1,,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html,宮城県 令和8年度クマ目撃等情報,HTML monthly table,true,"Same series as the ministry's table for FY2025 (3,559 total). The page prints 0 for every month not yet reached (September to March as of 2026-09-02); those are stored here as blank, not zero."
miyagi,宮城,2026,2,,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html,宮城県 令和8年度クマ目撃等情報,HTML monthly table,true,"Same series as the ministry's table for FY2025 (3,559 total). The page prints 0 for every month not yet reached (September to March as of 2026-09-02); those are stored here as blank, not zero."
miyagi,宮城,2026,3,,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html,宮城県 令和8年度クマ目撃等情報,HTML monthly table,true,"Same series as the ministry's table for FY2025 (3,559 total). The page prints 0 for every month not yet reached (September to March as of 2026-09-02); those are stored here as blank, not zero."
yamagata,山形,2026,4,56,2026-08-30,https://www.pref.yamagata.jp/documents/2414/080830_tsukibetsu.pdf,ツキノワグマ月別目撃件数（山形県、8.30現在）,PDF,true,"Prefecture-wide 目撃 (visual sighting) counts, Table 1 令和8年 column; footnote excludes human-injury cases and track/trace-only reports. September blank in the source (cumulative unchanged at 869). FY2025 Apr-Sep on the same page (35,134,278,351,277,375) equals the MoE FY2025 row. The source's own summary box says 8月累計 R7=267 while its table cell reads 277; the table value is the one MoE carries."
yamagata,山形,2026,5,169,2026-08-30,https://www.pref.yamagata.jp/documents/2414/080830_tsukibetsu.pdf,ツキノワグマ月別目撃件数（山形県、8.30現在）,PDF,true,"Prefecture-wide 目撃 (visual sighting) counts, Table 1 令和8年 column; footnote excludes human-injury cases and track/trace-only reports. September blank in the source (cumulative unchanged at 869). FY2025 Apr-Sep on the same page (35,134,278,351,277,375) equals the MoE FY2025 row. The source's own summary box says 8月累計 R7=267 while its table cell reads 277; the table value is the one MoE carries."
yamagata,山形,2026,6,298,2026-08-30,https://www.pref.yamagata.jp/documents/2414/080830_tsukibetsu.pdf,ツキノワグマ月別目撃件数（山形県、8.30現在）,PDF,true,"Prefecture-wide 目撃 (visual sighting) counts, Table 1 令和8年 column; footnote excludes human-injury cases and track/trace-only reports. September blank in the source (cumulative unchanged at 869). FY2025 Apr-Sep on the same page (35,134,278,351,277,375) equals the MoE FY2025 row. The source's own summary box says 8月累計 R7=267 while its table cell reads 277; the table value is the one MoE carries."
yamagata,山形,2026,7,195,2026-08-30,https://www.pref.yamagata.jp/documents/2414/080830_tsukibetsu.pdf,ツキノワグマ月別目撃件数（山形県、8.30現在）,PDF,true,"Prefecture-wide 目撃 (visual sighting) counts, Table 1 令和8年 column; footnote excludes human-injury cases and track/trace-only reports. September blank in the source (cumulative unchanged at 869). FY2025 Apr-Sep on the same page (35,134,278,351,277,375) equals the MoE FY2025 row. The source's own summary box says 8月累計 R7=267 while its table cell reads 277; the table value is the one MoE carries."
yamagata,山形,2026,8,87,2026-08-30,https://www.pref.yamagata.jp/documents/2414/080830_tsukibetsu.pdf,ツキノワグマ月別目撃件数（山形県、8.30現在）,PDF,true,"Prefecture-wide 目撃 (visual sighting) counts, Table 1 令和8年 column; footnote excludes human-injury cases and track/trace-only reports. September blank in the source (cumulative unchanged at 869). FY2025 Apr-Sep on the same page (35,134,278,351,277,375) equals the MoE FY2025 row. The source's own summary box says 8月累計 R7=267 while its table cell reads 277; the table value is the one MoE carries."
yamagata,山形,2026,9,,2026-08-30,https://www.pref.yamagata.jp/documents/2414/080830_tsukibetsu.pdf,ツキノワグマ月別目撃件数（山形県、8.30現在）,PDF,true,"Prefecture-wide 目撃 (visual sighting) counts, Table 1 令和8年 column; footnote excludes human-injury cases and track/trace-only reports. September blank in the source (cumulative unchanged at 869). FY2025 Apr-Sep on the same page (35,134,278,351,277,375) equals the MoE FY2025 row. The source's own summary box says 8月累計 R7=267 while its table cell reads 277; the table value is the one MoE carries."
yamagata,山形,2026,10,,2026-08-30,https://www.pref.yamagata.jp/documents/2414/080830_tsukibetsu.pdf,ツキノワグマ月別目撃件数（山形県、8.30現在）,PDF,true,"Prefecture-wide 目撃 (visual sighting) counts, Table 1 令和8年 column; footnote excludes human-injury cases and track/trace-only reports. September blank in the source (cumulative unchanged at 869). FY2025 Apr-Sep on the same page (35,134,278,351,277,375) equals the MoE FY2025 row. The source's own summary box says 8月累計 R7=267 while its table cell reads 277; the table value is the one MoE carries."
yamagata,山形,2026,11,,2026-08-30,https://www.pref.yamagata.jp/documents/2414/080830_tsukibetsu.pdf,ツキノワグマ月別目撃件数（山形県、8.30現在）,PDF,true,"Prefecture-wide 目撃 (visual sighting) counts, Table 1 令和8年 column; footnote excludes human-injury cases and track/trace-only reports. September blank in the source (cumulative unchanged at 869). FY2025 Apr-Sep on the same page (35,134,278,351,277,375) equals the MoE FY2025 row. The source's own summary box says 8月累計 R7=267 while its table cell reads 277; the table value is the one MoE carries."
yamagata,山形,2026,12,,2026-08-30,https://www.pref.yamagata.jp/documents/2414/080830_tsukibetsu.pdf,ツキノワグマ月別目撃件数（山形県、8.30現在）,PDF,true,"Prefecture-wide 目撃 (visual sighting) counts, Table 1 令和8年 column; footnote excludes human-injury cases and track/trace-only reports. September blank in the source (cumulative unchanged at 869). FY2025 Apr-Sep on the same page (35,134,278,351,277,375) equals the MoE FY2025 row. The source's own summary box says 8月累計 R7=267 while its table cell reads 277; the table value is the one MoE carries."
yamagata,山形,2026,1,,2026-08-30,https://www.pref.yamagata.jp/documents/2414/080830_tsukibetsu.pdf,ツキノワグマ月別目撃件数（山形県、8.30現在）,PDF,true,"Prefecture-wide 目撃 (visual sighting) counts, Table 1 令和8年 column; footnote excludes human-injury cases and track/trace-only reports. September blank in the source (cumulative unchanged at 869). FY2025 Apr-Sep on the same page (35,134,278,351,277,375) equals the MoE FY2025 row. The source's own summary box says 8月累計 R7=267 while its table cell reads 277; the table value is the one MoE carries."
yamagata,山形,2026,2,,2026-08-30,https://www.pref.yamagata.jp/documents/2414/080830_tsukibetsu.pdf,ツキノワグマ月別目撃件数（山形県、8.30現在）,PDF,true,"Prefecture-wide 目撃 (visual sighting) counts, Table 1 令和8年 column; footnote excludes human-injury cases and track/trace-only reports. September blank in the source (cumulative unchanged at 869). FY2025 Apr-Sep on the same page (35,134,278,351,277,375) equals the MoE FY2025 row. The source's own summary box says 8月累計 R7=267 while its table cell reads 277; the table value is the one MoE carries."
yamagata,山形,2026,3,,2026-08-30,https://www.pref.yamagata.jp/documents/2414/080830_tsukibetsu.pdf,ツキノワグマ月別目撃件数（山形県、8.30現在）,PDF,true,"Prefecture-wide 目撃 (visual sighting) counts, Table 1 令和8年 column; footnote excludes human-injury cases and track/trace-only reports. September blank in the source (cumulative unchanged at 869). FY2025 Apr-Sep on the same page (35,134,278,351,277,375) equals the MoE FY2025 row. The source's own summary box says 8月累計 R7=267 while its table cell reads 277; the table value is the one MoE carries."
fukushima,福島,2026,4,112,2026-07-28,https://www.pref.fukushima.lg.jp/sec/16035b/tukinowaguma-mokugeki.html,"福島県クマ目撃マップ (Excel 市町村別集計 758443.xlsx, sheet R0８情報提供資料)",Excel,true,"Labelled クマ目撃件数 but the underlying police log mixes 目撃, 交通事故, 足跡等痕跡, 傷害, 列車事故 and their sum reproduces the monthly totals, i.e. an all-incident count; same method in FY2025, whose row (29,93,172,188,179,187,...,2047) equals the MoE FY2025 row exactly. July covers only 1-15 July (published 2026-07-28), so July is incomplete."
fukushima,福島,2026,5,192,2026-07-28,https://www.pref.fukushima.lg.jp/sec/16035b/tukinowaguma-mokugeki.html,"福島県クマ目撃マップ (Excel 市町村別集計 758443.xlsx, sheet R0８情報提供資料)",Excel,true,"Labelled クマ目撃件数 but the underlying police log mixes 目撃, 交通事故, 足跡等痕跡, 傷害, 列車事故 and their sum reproduces the monthly totals, i.e. an all-incident count; same method in FY2025, whose row (29,93,172,188,179,187,...,2047) equals the MoE FY2025 row exactly. July covers only 1-15 July (published 2026-07-28), so July is incomplete."
fukushima,福島,2026,6,285,2026-07-28,https://www.pref.fukushima.lg.jp/sec/16035b/tukinowaguma-mokugeki.html,"福島県クマ目撃マップ (Excel 市町村別集計 758443.xlsx, sheet R0８情報提供資料)",Excel,true,"Labelled クマ目撃件数 but the underlying police log mixes 目撃, 交通事故, 足跡等痕跡, 傷害, 列車事故 and their sum reproduces the monthly totals, i.e. an all-incident count; same method in FY2025, whose row (29,93,172,188,179,187,...,2047) equals the MoE FY2025 row exactly. July covers only 1-15 July (published 2026-07-28), so July is incomplete."
fukushima,福島,2026,7,74,2026-07-28,https://www.pref.fukushima.lg.jp/sec/16035b/tukinowaguma-mokugeki.html,"福島県クマ目撃マップ (Excel 市町村別集計 758443.xlsx, sheet R0８情報提供資料)",Excel,true,"Labelled クマ目撃件数 but the underlying police log mixes 目撃, 交通事故, 足跡等痕跡, 傷害, 列車事故 and their sum reproduces the monthly totals, i.e. an all-incident count; same method in FY2025, whose row (29,93,172,188,179,187,...,2047) equals the MoE FY2025 row exactly. July covers only 1-15 July (published 2026-07-28), so July is incomplete."
fukushima,福島,2026,8,,2026-07-28,https://www.pref.fukushima.lg.jp/sec/16035b/tukinowaguma-mokugeki.html,"福島県クマ目撃マップ (Excel 市町村別集計 758443.xlsx, sheet R0８情報提供資料)",Excel,true,"Labelled クマ目撃件数 but the underlying police log mixes 目撃, 交通事故, 足跡等痕跡, 傷害, 列車事故 and their sum reproduces the monthly totals, i.e. an all-incident count; same method in FY2025, whose row (29,93,172,188,179,187,...,2047) equals the MoE FY2025 row exactly. July covers only 1-15 July (published 2026-07-28), so July is incomplete."
fukushima,福島,2026,9,,2026-07-28,https://www.pref.fukushima.lg.jp/sec/16035b/tukinowaguma-mokugeki.html,"福島県クマ目撃マップ (Excel 市町村別集計 758443.xlsx, sheet R0８情報提供資料)",Excel,true,"Labelled クマ目撃件数 but the underlying police log mixes 目撃, 交通事故, 足跡等痕跡, 傷害, 列車事故 and their sum reproduces the monthly totals, i.e. an all-incident count; same method in FY2025, whose row (29,93,172,188,179,187,...,2047) equals the MoE FY2025 row exactly. July covers only 1-15 July (published 2026-07-28), so July is incomplete."
fukushima,福島,2026,10,,2026-07-28,https://www.pref.fukushima.lg.jp/sec/16035b/tukinowaguma-mokugeki.html,"福島県クマ目撃マップ (Excel 市町村別集計 758443.xlsx, sheet R0８情報提供資料)",Excel,true,"Labelled クマ目撃件数 but the underlying police log mixes 目撃, 交通事故, 足跡等痕跡, 傷害, 列車事故 and their sum reproduces the monthly totals, i.e. an all-incident count; same method in FY2025, whose row (29,93,172,188,179,187,...,2047) equals the MoE FY2025 row exactly. July covers only 1-15 July (published 2026-07-28), so July is incomplete."
fukushima,福島,2026,11,,2026-07-28,https://www.pref.fukushima.lg.jp/sec/16035b/tukinowaguma-mokugeki.html,"福島県クマ目撃マップ (Excel 市町村別集計 758443.xlsx, sheet R0８情報提供資料)",Excel,true,"Labelled クマ目撃件数 but the underlying police log mixes 目撃, 交通事故, 足跡等痕跡, 傷害, 列車事故 and their sum reproduces the monthly totals, i.e. an all-incident count; same method in FY2025, whose row (29,93,172,188,179,187,...,2047) equals the MoE FY2025 row exactly. July covers only 1-15 July (published 2026-07-28), so July is incomplete."
fukushima,福島,2026,12,,2026-07-28,https://www.pref.fukushima.lg.jp/sec/16035b/tukinowaguma-mokugeki.html,"福島県クマ目撃マップ (Excel 市町村別集計 758443.xlsx, sheet R0８情報提供資料)",Excel,true,"Labelled クマ目撃件数 but the underlying police log mixes 目撃, 交通事故, 足跡等痕跡, 傷害, 列車事故 and their sum reproduces the monthly totals, i.e. an all-incident count; same method in FY2025, whose row (29,93,172,188,179,187,...,2047) equals the MoE FY2025 row exactly. July covers only 1-15 July (published 2026-07-28), so July is incomplete."
fukushima,福島,2026,1,,2026-07-28,https://www.pref.fukushima.lg.jp/sec/16035b/tukinowaguma-mokugeki.html,"福島県クマ目撃マップ (Excel 市町村別集計 758443.xlsx, sheet R0８情報提供資料)",Excel,true,"Labelled クマ目撃件数 but the underlying police log mixes 目撃, 交通事故, 足跡等痕跡, 傷害, 列車事故 and their sum reproduces the monthly totals, i.e. an all-incident count; same method in FY2025, whose row (29,93,172,188,179,187,...,2047) equals the MoE FY2025 row exactly. July covers only 1-15 July (published 2026-07-28), so July is incomplete."
fukushima,福島,2026,2,,2026-07-28,https://www.pref.fukushima.lg.jp/sec/16035b/tukinowaguma-mokugeki.html,"福島県クマ目撃マップ (Excel 市町村別集計 758443.xlsx, sheet R0８情報提供資料)",Excel,true,"Labelled クマ目撃件数 but the underlying police log mixes 目撃, 交通事故, 足跡等痕跡, 傷害, 列車事故 and their sum reproduces the monthly totals, i.e. an all-incident count; same method in FY2025, whose row (29,93,172,188,179,187,...,2047) equals the MoE FY2025 row exactly. July covers only 1-15 July (published 2026-07-28), so July is incomplete."
fukushima,福島,2026,3,,2026-07-28,https://www.pref.fukushima.lg.jp/sec/16035b/tukinowaguma-mokugeki.html,"福島県クマ目撃マップ (Excel 市町村別集計 758443.xlsx, sheet R0８情報提供資料)",Excel,true,"Labelled クマ目撃件数 but the underlying police log mixes 目撃, 交通事故, 足跡等痕跡, 傷害, 列車事故 and their sum reproduces the monthly totals, i.e. an all-incident count; same method in FY2025, whose row (29,93,172,188,179,187,...,2047) equals the MoE FY2025 row exactly. July covers only 1-15 July (published 2026-07-28), so July is incomplete."
niigata,新潟,2026,4,67,2026-09-05,https://services6.arcgis.com/SKz58fvdFlaEB35q/arcgis/rest/services/survey123_08d14b98657b47309b868f49602375c8_results/FeatureServer/0/query,にいがたクマ出没マップ (ArcGIS FeatureServer behind the 新潟県 ツキノワグマ出没情報 page); FY2025 check: suii_496555.pdf,"ArcGIS FeatureServer (JSON, queried 2026-09-05)",true,"Records tagged 目撃 / 痕跡 / 人身 summed together (FY2026 to date 554+78+2=634). Day-by-day re-aggregation of FY2025 reproduces the prefecture PDF's R7 row and the MoE FY2025 row exactly (27,151,214,246,180,435,...,3528). MoE's own FY2026 June cell (213) is two records behind the live feed (215)."
niigata,新潟,2026,5,159,2026-09-05,https://services6.arcgis.com/SKz58fvdFlaEB35q/arcgis/rest/services/survey123_08d14b98657b47309b868f49602375c8_results/FeatureServer/0/query,にいがたクマ出没マップ (ArcGIS FeatureServer behind the 新潟県 ツキノワグマ出没情報 page); FY2025 check: suii_496555.pdf,"ArcGIS FeatureServer (JSON, queried 2026-09-05)",true,"Records tagged 目撃 / 痕跡 / 人身 summed together (FY2026 to date 554+78+2=634). Day-by-day re-aggregation of FY2025 reproduces the prefecture PDF's R7 row and the MoE FY2025 row exactly (27,151,214,246,180,435,...,3528). MoE's own FY2026 June cell (213) is two records behind the live feed (215)."
niigata,新潟,2026,6,215,2026-09-05,https://services6.arcgis.com/SKz58fvdFlaEB35q/arcgis/rest/services/survey123_08d14b98657b47309b868f49602375c8_results/FeatureServer/0/query,にいがたクマ出没マップ (ArcGIS FeatureServer behind the 新潟県 ツキノワグマ出没情報 page); FY2025 check: suii_496555.pdf,"ArcGIS FeatureServer (JSON, queried 2026-09-05)",true,"Records tagged 目撃 / 痕跡 / 人身 summed together (FY2026 to date 554+78+2=634). Day-by-day re-aggregation of FY2025 reproduces the prefecture PDF's R7 row and the MoE FY2025 row exactly (27,151,214,246,180,435,...,3528). MoE's own FY2026 June cell (213) is two records behind the live feed (215)."
