prefecture,prefecture_en,species,species_en,fiscal_year,era_label,survey_type,raw_text,text_clean,status,category,category_rule,edition,edition_count,earlier_editions,remarks,method,source_file,source_url,publish_date,publish_date_source
宮城,Miyagi,ミズナラ,mizunara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
宮城,Miyagi,コナラ,konara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
秋田,Akita,ブナ,buna,2013,H25,fruiting,並作～豊作,並作～豊作,value,豊作,MoE rule 並作～豊作→豊作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
秋田,Akita,ミズナラ,mizunara,2013,H25,fruiting,凶作～並作,凶作～並作,value,並作,MoE rule 凶作～並作/凶作～豊作/不作～並作→並作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
秋田,Akita,コナラ,konara,2013,H25,fruiting,並作～豊作,並作～豊作,value,豊作,MoE rule 並作～豊作→豊作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
山形,Yamagata,ブナ,buna,2013,H25,fruiting,並作～豊作,並作～豊作,value,豊作,MoE rule 並作～豊作→豊作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
山形,Yamagata,ミズナラ,mizunara,2013,H25,fruiting,凶作～豊作,凶作～豊作,value,並作,MoE rule 凶作～並作/凶作～豊作/不作～並作→並作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
山形,Yamagata,コナラ,konara,2013,H25,fruiting,凶作～豊作,凶作～豊作,value,並作,MoE rule 凶作～並作/凶作～豊作/不作～並作→並作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
福島,Fukushima,ブナ,buna,2013,H25,fruiting,豊作,豊作,value,豊作,exact; 大豊作 counted as 豊作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
福島,Fukushima,ミズナラ,mizunara,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
福島,Fukushima,コナラ,konara,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
栃木,Tochigi,ブナ,buna,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
栃木,Tochigi,ミズナラ,mizunara,2013,H25,fruiting,並作～不作,並作～不作,value,並作,MoE rule 凶作～並作/凶作～豊作/不作～並作→並作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
栃木,Tochigi,コナラ,konara,2013,H25,fruiting,並作～不作,並作～不作,value,並作,MoE rule 凶作～並作/凶作～豊作/不作～並作→並作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
群馬,Gunma,ブナ,buna,2013,H25,fruiting,並（不作）,並（不作）,value,並作,ambiguous 並（不作）: headline 並 taken,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
群馬,Gunma,ミズナラ,mizunara,2013,H25,fruiting,並（不作）,並（不作）,value,並作,ambiguous 並（不作）: headline 並 taken,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
群馬,Gunma,コナラ,konara,2013,H25,fruiting,並（不作）,並（不作）,value,並作,ambiguous 並（不作）: headline 並 taken,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
埼玉,Saitama,ブナ,buna,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
埼玉,Saitama,ミズナラ,mizunara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
埼玉,Saitama,コナラ,konara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
東京,Tokyo,ブナ,buna,2013,H25,fruiting,不明,不明,not_published,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
東京,Tokyo,ミズナラ,mizunara,2013,H25,fruiting,豊作,豊作,value,豊作,exact; 大豊作 counted as 豊作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
東京,Tokyo,コナラ,konara,2013,H25,fruiting,並作～豊作,並作～豊作,value,豊作,MoE rule 並作～豊作→豊作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
神奈川,Kanagawa,ブナ,buna,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
神奈川,Kanagawa,ミズナラ,mizunara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
神奈川,Kanagawa,コナラ,konara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
新潟,Niigata,ブナ,buna,2013,H25,fruiting,凶作～不作,凶作～不作,value,凶作,range within 凶作/不作 bucket,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
新潟,Niigata,ミズナラ,mizunara,2013,H25,fruiting,不作～並作,不作～並作,value,並作,MoE rule 凶作～並作/凶作～豊作/不作～並作→並作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
新潟,Niigata,コナラ,konara,2013,H25,fruiting,不作～並作,不作～並作,value,並作,MoE rule 凶作～並作/凶作～豊作/不作～並作→並作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
富山,Toyama,ブナ,buna,2013,H25,fruiting,凶作～並作,凶作～並作,value,並作,MoE rule 凶作～並作/凶作～豊作/不作～並作→並作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
富山,Toyama,ミズナラ,mizunara,2013,H25,fruiting,不作～並作,不作～並作,value,並作,MoE rule 凶作～並作/凶作～豊作/不作～並作→並作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
富山,Toyama,コナラ,konara,2013,H25,fruiting,凶作～不作,凶作～不作,value,凶作,range within 凶作/不作 bucket,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
石川,Ishikawa,ブナ,buna,2013,H25,fruiting,凶作,凶作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
石川,Ishikawa,ミズナラ,mizunara,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
石川,Ishikawa,コナラ,konara,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
福井,Fukui,ブナ,buna,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
福井,Fukui,ミズナラ,mizunara,2013,H25,fruiting,不作,不作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
福井,Fukui,コナラ,konara,2013,H25,fruiting,不作,不作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
山梨,Yamanashi,ブナ,buna,2013,H25,fruiting,凶作,凶作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
山梨,Yamanashi,ミズナラ,mizunara,2013,H25,fruiting,凶作～豊作,凶作～豊作,value,並作,MoE rule 凶作～並作/凶作～豊作/不作～並作→並作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
山梨,Yamanashi,コナラ,konara,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
長野,Nagano,ブナ,buna,2013,H25,fruiting,不作,不作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
長野,Nagano,ミズナラ,mizunara,2013,H25,fruiting,並下～並,並下～並,value,並作,range within 並作 bucket,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
長野,Nagano,コナラ,konara,2013,H25,fruiting,並下～並,並下～並,value,並作,range within 並作 bucket,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
岐阜,Gifu,ブナ,buna,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
岐阜,Gifu,ミズナラ,mizunara,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
岐阜,Gifu,コナラ,konara,2013,H25,fruiting,凶作,凶作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
静岡,Shizuoka,ブナ,buna,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
静岡,Shizuoka,ミズナラ,mizunara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
静岡,Shizuoka,コナラ,konara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
愛知,Aichi,ブナ,buna,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
愛知,Aichi,ミズナラ,mizunara,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
愛知,Aichi,コナラ,konara,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
三重,Mie,ブナ,buna,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
三重,Mie,ミズナラ,mizunara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
三重,Mie,コナラ,konara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
滋賀,Shiga,ブナ,buna,2013,H25,fruiting,凶作,凶作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
滋賀,Shiga,ミズナラ,mizunara,2013,H25,fruiting,凶作,凶作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
滋賀,Shiga,コナラ,konara,2013,H25,fruiting,凶作,凶作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
京都,Kyoto,ブナ,buna,2013,H25,fruiting,並作,並作,value,並作,exact; 並上/並下 are 並作 sub-grades,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
京都,Kyoto,ミズナラ,mizunara,2013,H25,fruiting,凶作,凶作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
京都,Kyoto,コナラ,konara,2013,H25,fruiting,凶作,凶作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
