year,hachimori,moriyoshizan,tazawako,higashinaruse,chokai,source_url,publish_date,publish_date_basis,source_file,method
2012,x,x,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2013,x,○,△,○,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2014,x,x,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2015,x,○,△,○,△,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2016,x,x,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2017,x,△,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2018,x,x,x,○,○,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2019,x,x,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2020,△,△,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2021,x,x,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2022,x,○,○,○,○,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2023,x,x,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2024,○,○,○,△,△,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2025,x,x,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
