year,era_year,species,species_ja,region,category,category_code,site_note,survey_sites,trees_surveyed,n_sites_houasaku,n_sites_namisaku,n_sites_fusaku,n_sites_kyousaku,n_sites_unresolved,count_method,survey_timing,source_file,source_url,publish_date,publish_date_basis,method,note
2016,H28,buna,ブナ,east,凶作,1,全箇所で凶作,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h28houkyou_20160905hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h28houkyou_20160905hp.pdf,2016-09-05,date in file name (…_20160905hp),pdftotext -layout text layer,"no 全県 category printed for ブナ in 2016; prefecture summary says east same-or-worse than the H18/H22 outbreak years, west better"
2016,H28,buna,ブナ,west,不作,2,凶作から並作までばらつく,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h28houkyou_20160905hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h28houkyou_20160905hp.pdf,2016-09-05,date in file name (…_20160905hp),pdftotext -layout text layer,
2016,H28,mizunara,ミズナラ,prefecture,,,,16,366,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h28houkyou_20160905hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h28houkyou_20160905hp.pdf,2016-09-05,date in file name (…_20160905hp),pdftotext -layout text layer,no 全県 category printed; 16 sites / 366 trees is the prefecture total
2016,H28,mizunara,ミズナラ,east,凶作,1,全箇所で凶作,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h28houkyou_20160905hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h28houkyou_20160905hp.pdf,2016-09-05,date in file name (…_20160905hp),pdftotext -layout text layer,
2016,H28,mizunara,ミズナラ,west,不作,2,凶作から並作までばらつく,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h28houkyou_20160905hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h28houkyou_20160905hp.pdf,2016-09-05,date in file name (…_20160905hp),pdftotext -layout text layer,
2016,H28,konara,コナラ,prefecture,不作,2,不作と並作の箇所がある,10,224,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h28houkyou_20160905hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h28houkyou_20160905hp.pdf,2016-09-05,date in file name (…_20160905hp),pdftotext -layout text layer,"text says 10箇所 but lists only 9 site names (三峯,魚津,東福寺野,吉峰,猿倉,頼成,医王山,倶利伽羅,五位)"
2017,H29,buna,ブナ,prefecture,不作,2,凶作から並作までばらつく,15,323,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h29houkyou_20170906hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h29houkyou_20170906hp.pdf,2017-09-06,date in file name (…_20170906hp),pdftotext -layout text layer,
2017,H29,mizunara,ミズナラ,prefecture,,,,16,366,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h29houkyou_20170906hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h29houkyou_20170906hp.pdf,2017-09-06,date in file name (…_20170906hp),pdftotext -layout text layer,no 全県 category printed for ミズナラ in 2017
2017,H29,mizunara,ミズナラ,east,並作,3,不作と並作の箇所がある,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h29houkyou_20170906hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h29houkyou_20170906hp.pdf,2017-09-06,date in file name (…_20170906hp),pdftotext -layout text layer,
2017,H29,mizunara,ミズナラ,west,不作,2,凶作と不作の箇所がある,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h29houkyou_20170906hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h29houkyou_20170906hp.pdf,2017-09-06,date in file name (…_20170906hp),pdftotext -layout text layer,
2017,H29,konara,コナラ,prefecture,,,,10,221,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h29houkyou_20170906hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h29houkyou_20170906hp.pdf,2017-09-06,date in file name (…_20170906hp),pdftotext -layout text layer,no 全県 category printed for コナラ in 2017
2017,H29,konara,コナラ,east,並作,3,不作と並作の箇所がある,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h29houkyou_20170906hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h29houkyou_20170906hp.pdf,2017-09-06,date in file name (…_20170906hp),pdftotext -layout text layer,
2017,H29,konara,コナラ,west,不作,2,不作と並作の箇所がある,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h29houkyou_20170906hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h29houkyou_20170906hp.pdf,2017-09-06,date in file name (…_20170906hp),pdftotext -layout text layer,
2018,H30,buna,ブナ,prefecture,並作,3,,15,327,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h30houkyou_20180904hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h30houkyou_20180904hp.pdf,2018-09-04,date in file name (…_20180904hp),pdftotext -layout text layer,ブナ 標高800m以上に分布
2018,H30,buna,ブナ,east,並作,3,不作、並作、豊作の箇所がある,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h30houkyou_20180904hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h30houkyou_20180904hp.pdf,2018-09-04,date in file name (…_20180904hp),pdftotext -layout text layer,
2018,H30,buna,ブナ,west,並作,3,凶作から豊作までばらつく,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h30houkyou_20180904hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h30houkyou_20180904hp.pdf,2018-09-04,date in file name (…_20180904hp),pdftotext -layout text layer,
2018,H30,mizunara,ミズナラ,prefecture,並作,3,,16,369,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h30houkyou_20180904hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h30houkyou_20180904hp.pdf,2018-09-04,date in file name (…_20180904hp),pdftotext -layout text layer,ミズナラ 標高400〜800mに分布
2018,H30,mizunara,ミズナラ,east,不作,2,不作と並作の箇所がある,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h30houkyou_20180904hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h30houkyou_20180904hp.pdf,2018-09-04,date in file name (…_20180904hp),pdftotext -layout text layer,
2018,H30,mizunara,ミズナラ,west,並作,3,並作と豊作の箇所がある,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h30houkyou_20180904hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h30houkyou_20180904hp.pdf,2018-09-04,date in file name (…_20180904hp),pdftotext -layout text layer,
2018,H30,konara,コナラ,prefecture,不作,2,,10,222,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h30houkyou_20180904hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h30houkyou_20180904hp.pdf,2018-09-04,date in file name (…_20180904hp),pdftotext -layout text layer,コナラ 標高400m以下に分布
2018,H30,konara,コナラ,east,不作,2,凶作、不作、並作の箇所がある,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h30houkyou_20180904hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h30houkyou_20180904hp.pdf,2018-09-04,date in file name (…_20180904hp),pdftotext -layout text layer,
2018,H30,konara,コナラ,west,並作,3,不作と並作の箇所がある,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h30houkyou_20180904hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h30houkyou_20180904hp.pdf,2018-09-04,date in file name (…_20180904hp),pdftotext -layout text layer,
2019,R1,buna,ブナ,prefecture,凶作,1,全箇所で凶作,15,,0,0,0,15,0,text: 全箇所で凶作 over 15箇所,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r1houkyou_20191011hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r1houkyou_20191011hp.pdf,2019-10-11,date in file name (…_20191011hp),pdftotext -layout text layer,
2019,R1,mizunara,ミズナラ,prefecture,凶作,1,,16,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r1houkyou_20191011hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r1houkyou_20191011hp.pdf,2019-10-11,date in file name (…_20191011hp),pdftotext -layout text layer,
2019,R1,mizunara,ミズナラ,east,不作,2,凶作から並作までばらつく,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r1houkyou_20191011hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r1houkyou_20191011hp.pdf,2019-10-11,date in file name (…_20191011hp),pdftotext -layout text layer,
2019,R1,mizunara,ミズナラ,west,凶作,1,全箇所で凶作,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r1houkyou_20191011hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r1houkyou_20191011hp.pdf,2019-10-11,date in file name (…_20191011hp),pdftotext -layout text layer,
2019,R1,konara,コナラ,prefecture,不作,2,凶作から並作までばらつく,10,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r1houkyou_20191011hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r1houkyou_20191011hp.pdf,2019-10-11,date in file name (…_20191011hp),pdftotext -layout text layer,
2020,R2,buna,ブナ,prefecture,凶作,1,1箇所を除き凶作,15,,,,,14,1,text: 1箇所を除き凶作 over 15箇所; the category of the one non-凶作 site is not stated,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,first two consecutive ブナ 凶作 years since the survey began in 2005 (平成17年の調査開始以来初めて２年連続凶作)
2020,R2,buna,ブナ,east,凶作,1,,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,
2020,R2,buna,ブナ,west,凶作,1,,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,
2020,R2,mizunara,ミズナラ,prefecture,不作,2,凶作から並作までばらつく,16,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,
2020,R2,mizunara,ミズナラ,east,不作,2,,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,
2020,R2,mizunara,ミズナラ,west,不作,2,,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,
2020,R2,konara,コナラ,prefecture,不作,2,凶作から並作までばらつく,10,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,
2020,R2,konara,コナラ,east,不作,2,凶作から並作までばらつく,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,
2020,R2,konara,コナラ,west,凶作,1,１箇所を除き凶作,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,
2021,R3,buna,ブナ,prefecture,並作,3,不作から豊作までばらつく,15,,2,9,4,0,0,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r4koushin_r3houkyou_20220906.pdf,https://www.pref.toyama.jp/documents/21689/r4koushin_r3houkyou_20220906.pdf,2021-09-07,"original file name r3houkyou_20210907hp.pdf (Wayback CDX 2022-01-11); current file is the 2022-09-06 re-upload with figures removed, text identical",pdftotext -layout text layer,category and site list from the current text-only file; site counts from the map in the original 2021 file (Wayback copy)
2021,R3,buna,ブナ,east,並作,3,,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/wb-r3houkyou_20210907hp.pdf,http://web.archive.org/web/20220111113855id_/https://www.pref.toyama.jp/documents/21689/r3houkyou_20210907hp.pdf,2021-09-07,date in original file name r3houkyou_20210907hp.pdf; Wayback capture 2022-01-11,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",east/west symbols shown in the map box of the original 2021 file (Wayback copy); text-only current file gives 全県 only
2021,R3,buna,ブナ,west,並作,3,,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/wb-r3houkyou_20210907hp.pdf,http://web.archive.org/web/20220111113855id_/https://www.pref.toyama.jp/documents/21689/r3houkyou_20210907hp.pdf,2021-09-07,date in original file name r3houkyou_20210907hp.pdf; Wayback capture 2022-01-11,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",as above
2021,R3,mizunara,ミズナラ,prefecture,不作,2,凶作から並作までばらつく,16,,0,3,11,1,1,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r4koushin_r3houkyou_20220906.pdf,https://www.pref.toyama.jp/documents/21689/r4koushin_r3houkyou_20220906.pdf,2021-09-07,"original file name r3houkyou_20210907hp.pdf (Wayback CDX 2022-01-11); current file is the 2022-09-06 re-upload with figures removed, text identical",pdftotext -layout text layer,one of the three overlapping 有峰 symbols (猪根/峠谷/西岸) is hidden; 11 不作 counts only visible symbols
2021,R3,mizunara,ミズナラ,east,不作,2,,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/wb-r3houkyou_20210907hp.pdf,http://web.archive.org/web/20220111113855id_/https://www.pref.toyama.jp/documents/21689/r3houkyou_20210907hp.pdf,2021-09-07,date in original file name r3houkyou_20210907hp.pdf; Wayback capture 2022-01-11,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",map box of the original 2021 file
2021,R3,mizunara,ミズナラ,west,不作,2,,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/wb-r3houkyou_20210907hp.pdf,http://web.archive.org/web/20220111113855id_/https://www.pref.toyama.jp/documents/21689/r3houkyou_20210907hp.pdf,2021-09-07,date in original file name r3houkyou_20210907hp.pdf; Wayback capture 2022-01-11,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",map box of the original 2021 file
2021,R3,konara,コナラ,prefecture,不作,2,凶作から並作までばらつく,10,,0,1,8,1,0,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r4koushin_r3houkyou_20220906.pdf,https://www.pref.toyama.jp/documents/21689/r4koushin_r3houkyou_20220906.pdf,2021-09-07,"original file name r3houkyou_20210907hp.pdf (Wayback CDX 2022-01-11); current file is the 2022-09-06 re-upload with figures removed, text identical",pdftotext -layout text layer,
2021,R3,konara,コナラ,east,不作,2,,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/wb-r3houkyou_20210907hp.pdf,http://web.archive.org/web/20220111113855id_/https://www.pref.toyama.jp/documents/21689/r3houkyou_20210907hp.pdf,2021-09-07,date in original file name r3houkyou_20210907hp.pdf; Wayback capture 2022-01-11,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",map box of the original 2021 file
2021,R3,konara,コナラ,west,不作,2,,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/wb-r3houkyou_20210907hp.pdf,http://web.archive.org/web/20220111113855id_/https://www.pref.toyama.jp/documents/21689/r3houkyou_20210907hp.pdf,2021-09-07,date in original file name r3houkyou_20210907hp.pdf; Wayback capture 2022-01-11,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",map box of the original 2021 file
2022,R4,buna,ブナ,prefecture,不作,2,凶作から豊作までばらつく,15,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r5koushin_r4_houkyoutyousa.pdf,https://www.pref.toyama.jp/documents/21689/r5koushin_r4_houkyoutyousa.pdf,2022-09-06,inferred: R3 file re-uploaded as …_20220906 when R4 was posted; R4 PDF CreationDate 2022-09-01; Chubu Forest Office page of 2022-09-08 already cites it,pdftotext -layout text layer,
2022,R4,mizunara,ミズナラ,prefecture,不作,2,凶作から並作までばらつく,16,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r5koushin_r4_houkyoutyousa.pdf,https://www.pref.toyama.jp/documents/21689/r5koushin_r4_houkyoutyousa.pdf,2022-09-06,inferred: R3 file re-uploaded as …_20220906 when R4 was posted; R4 PDF CreationDate 2022-09-01; Chubu Forest Office page of 2022-09-08 already cites it,pdftotext -layout text layer,
2022,R4,konara,コナラ,prefecture,並作,3,不作から並作までばらつく,10,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r5koushin_r4_houkyoutyousa.pdf,https://www.pref.toyama.jp/documents/21689/r5koushin_r4_houkyoutyousa.pdf,2022-09-06,inferred: R3 file re-uploaded as …_20220906 when R4 was posted; R4 PDF CreationDate 2022-09-01; Chubu Forest Office page of 2022-09-08 already cites it,pdftotext -layout text layer,
2023,R5,buna,ブナ,prefecture,不作,2,,15,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r5houkyoutyousa_rev.pdf,https://www.pref.toyama.jp/documents/21689/r5houkyoutyousa_rev.pdf,2023-09-06,"inferred: R4 file re-uploaded with PDF CreationDate 2023-09-06 when R5 was posted; Chubu Forest Office page of 2023-09-08 links it; file on disk is the revised copy (CreationDate 2024-09-05, maps removed per its PDF title)",pdftotext -layout text layer,
2023,R5,buna,ブナ,east,凶作,1,全箇所にて凶作,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r5houkyoutyousa_rev.pdf,https://www.pref.toyama.jp/documents/21689/r5houkyoutyousa_rev.pdf,2023-09-06,"inferred: R4 file re-uploaded with PDF CreationDate 2023-09-06 when R5 was posted; Chubu Forest Office page of 2023-09-08 links it; file on disk is the revised copy (CreationDate 2024-09-05, maps removed per its PDF title)",pdftotext -layout text layer,
2023,R5,buna,ブナ,west,不作,2,凶作、不作がばらつく,,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r5houkyoutyousa_rev.pdf,https://www.pref.toyama.jp/documents/21689/r5houkyoutyousa_rev.pdf,2023-09-06,"inferred: R4 file re-uploaded with PDF CreationDate 2023-09-06 when R5 was posted; Chubu Forest Office page of 2023-09-08 links it; file on disk is the revised copy (CreationDate 2024-09-05, maps removed per its PDF title)",pdftotext -layout text layer,
2023,R5,mizunara,ミズナラ,prefecture,不作,2,,16,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r5houkyoutyousa_rev.pdf,https://www.pref.toyama.jp/documents/21689/r5houkyoutyousa_rev.pdf,2023-09-06,"inferred: R4 file re-uploaded with PDF CreationDate 2023-09-06 when R5 was posted; Chubu Forest Office page of 2023-09-08 links it; file on disk is the revised copy (CreationDate 2024-09-05, maps removed per its PDF title)",pdftotext -layout text layer,
2023,R5,mizunara,ミズナラ,east,不作,2,凶作、不作がばらつく (brace covers east and west),,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r5houkyoutyousa_rev.pdf,https://www.pref.toyama.jp/documents/21689/r5houkyoutyousa_rev.pdf,2023-09-06,"inferred: R4 file re-uploaded with PDF CreationDate 2023-09-06 when R5 was posted; Chubu Forest Office page of 2023-09-08 links it; file on disk is the revised copy (CreationDate 2024-09-05, maps removed per its PDF title)",pdftotext -layout text layer,
2023,R5,mizunara,ミズナラ,west,不作,2,凶作、不作がばらつく (brace covers east and west),,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r5houkyoutyousa_rev.pdf,https://www.pref.toyama.jp/documents/21689/r5houkyoutyousa_rev.pdf,2023-09-06,"inferred: R4 file re-uploaded with PDF CreationDate 2023-09-06 when R5 was posted; Chubu Forest Office page of 2023-09-08 links it; file on disk is the revised copy (CreationDate 2024-09-05, maps removed per its PDF title)",pdftotext -layout text layer,
2023,R5,konara,コナラ,prefecture,不作,2,,11,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r5houkyoutyousa_rev.pdf,https://www.pref.toyama.jp/documents/21689/r5houkyoutyousa_rev.pdf,2023-09-06,"inferred: R4 file re-uploaded with PDF CreationDate 2023-09-06 when R5 was posted; Chubu Forest Office page of 2023-09-08 links it; file on disk is the revised copy (CreationDate 2024-09-05, maps removed per its PDF title)",pdftotext -layout text layer,氷見 added as 11th コナラ site
